id,Name,Type,Description,Image,Price,Link,Tags,Liked
21,The Farmstand Hydroponic Garden,Household,"Zooey Deschanel co-founded Lettuce Grow, which makes the Farmstand, a vertical hydroponic garden (meaning all these plants need is water!) that’s ideal for small spaces. Grow your own kale, lettuce, berries, cilantro, tomatoes — you name it, you can most likely grow it — literally on your porch or right outside your apartment. Choose what you want from Lettuce Grow’s seedling collection and get it all delivered to you. From there, you only need to spend 5 minutes a week tending to your garden, and in about 3 weeks, you’ll have fresh produce right from your own backyard (or porch/deck/balcony). Traditional gardens need up to 20 gallons of water to be tended to, whereas the farmstand only need 1 gallon. Plus, you’ll get your bounty in a matter of weeks, or you get your money back. There’s a reason why everyone is obsessed with this new eco-consious way of growing their own food!",https://www.scarymommy.com/wp-content/uploads/2020/02/farmstand.png,348,https://fave.co/364FjuT,"Women, Men",FALSE
22,Bite Beauty Agave+ Daytime Vegan Lip Balm,Care,"Bite Beauty lovers can attest that all of their products are uh-mazing, regardless of whether you need a good lip balm, lipstick, or foundation. It’s made with clean, vegan ingredients (there are no Sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, triclocarban), this lip balm is our tried-and-true favorite when it comes to balm that’ll truly hydrate your chapped lips. It also smells fantastic (like an orangesicle!).",https://www.scarymommy.com/wp-content/uploads/2020/02/bite-beauty-lip-balm.png,14,https://fave.co/2GrLMqS,"Women, Men",FALSE
23,Solar Power Bank & Portable Charger,Tech,"Save energy by going solar! This solar power bank and wireless, portable charger charges iPhones and Androids, and even comes with a flashlight and compass kit. If you’re an avid camper or just find yourself needing to charge your phone *all* the time, this is a super smart solution.",https://m.media-amazon.com/images/I/51INIEqw6BL.jpg,29,https://www.amazon.com/gp/product/B07FDXDB3W/ref=as_li_tl?ie=UTF8&tag=sm-ecofriendlygifts-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B07FDXDB3W&linkId=ef80a10532cc700b622c9401a8db5332,"Women, Men, Teens",FALSE
24,Mad Hippie Skin Care Exfoliating Serum,Care,"Looking for an eco-friendly serum that’ll help exfoliate your skin and leave it super soft and bright the next morning? Look no further! Normally sold at Whole Foods, Mad Hippie is the MVP of green grocery store beauty. Our shopping editor swears by Mad Hippie exfoliating serum, especially in the winter time when her skin gets dry and dull. She’ll usually use this nightly (it’s gentle enough) with a moisturizer and sees instant results. It’s all natural, cruelty-free, vegan, and GMO-free and uses earth’s ingredients like gigawhite, and apple stem cells to get the job done. Its 10% alpha hydroxy acid formula will leave your skin a little tingly, but don’t worry — that’s totally normal.",https://m.media-amazon.com/images/I/51akVCm9qqL.jpg,28,https://www.amazon.com/gp/product/B008MYUCLS/ref=as_li_tl?ie=UTF8&tag=sm-ecofriendlygifts-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B008MYUCLS&linkId=a8e0813baaca09311cd2d24c852eec86,Women,FALSE
25,Reusable Glass Straws Set,Other,"This fun, multicolored glass straw set of 8 comes with two straw cleaners, so no more leftover seeds and pulp after your morning smoothie! These are handmade lead- free, BPA free, and non-toxic. Goodbye, plastic straws forever!",https://m.media-amazon.com/images/I/51qPT60xAyL.jpg,10,https://www.amazon.com/gp/product/B07TVPNW7J/ref=as_li_tl?ie=UTF8&tag=sm-ecofriendlygifts-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B07TVPNW7J&linkId=766a49bd54507ffeb16213f9f82a814d,"Women, Men, Teens",FALSE
26,Biodegradable Hair Ties in Rainbow by KOOSHOO,Care,"It’s the little things in life that friends and family would never think to buy for themselves. These plastic-free hair ties are a lifesaver (and we don’t say that lightly). While the ties that you snag from the drugstore are typically made from plastic, these are made with GOTS certified organic cotton and natural rubber. Available in a slew of colorways including rainbow or neutral, they’re super cute and easy to coordinate with a variety of looks (whether you wear them on your wrist or in a ponytail). The name itself, KOOSHOO translates to “feeling good.” From yoga class to running errands, you’ll never have to worry about not having a spare hair tie to keep your ish together. Side note: These make great stocking stuffers!",https://m.media-amazon.com/images/I/41YO1IMUsCL.jpg,19,https://www.amazon.com/gp/product/B08G4F6NLV/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B08G4F6NLV&linkCode=as2&tag=sm-ecofriendlygifts-20&linkId=653877f0e7c58c57e7c41d00c91a62db,"Women, Teens",FALSE
27,Nordic By Nature Reusable Sandwich Bags (4 Pack),Household,"Lunch break just got cuter thanks to Nordic By Nature’s reusable patterned sandwich bags. Whether you’re packing a sandwich, animal crackers, veggies, or fruit, these cute cotton pouches will eliminate the need for disposable plastic bags. For the mom with grade school kiddos, this is game-changing news. Even if they’re doing homeschooling this term, lunch is still going to be a vital part of their day. Each set contains four sizes (medium, small, and two extra-large), so convenience is a big factor. The bags are non-toxic, phthalate-free, lead-free, and BPA-free—not to mention dishwasher safe and easy to clean! We’re partial to the tropical green flower print but the green camo colorway is pretty rad, too.",https://m.media-amazon.com/images/I/51GDv7hOoGL.jpg,15,https://www.amazon.com/gp/product/B07CXSBBC3/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B07CXSBBC3&linkCode=as2&tag=sm-ecofriendlygifts-20&linkId=d0ae56776b91bdb6fb44e255e19c1412,"Women, Men, Teens, Kids",FALSE
28,Reusable Zip Up Bags,Household,"This colorful 3-piece reusable bag set comes in large, medium, and small — and we use it for everything, including leftovers, makeup, Midol-on-the-go, tampons, and more. We’ve also ran these bags through the dishwasher at least two dozen times by this point, and they’re still holding up.",https://www.scarymommy.com/wp-content/uploads/2020/02/mumi-scaled.jpg,19,https://fave.co/3pocWQN,"Women, Men, Teens",FALSE
29,Plantable Coloring Pencils with Seeds,Household,"You can channel all your adult coloring impulses with these lead-free pencils, and when you've used them up, you can ""plant"" them—there are seed capsules in the base of the pencil instead of an eraser. Each pencil has a marking of the seeds it contains and is biodegradable. If you don't have a green thumb, the packet also gives you directions on how to get the plants to grow and thrive.","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1574370701-61koAC5sDBL.jpg?crop=0.670xw:1.00xh;0.194xw,0&resize=480:*",16,https://www.amazon.com/dp/B078WS8SXK?linkCode=ogi,"Women, Men, Teens, Kids",FALSE
30,Adopt a Tiger,Toy,"There are a number of critical causes one can donate to these days, and it's worth making a donation in lieu of a gift. This does both: You can symbolically adopt an animal, and you get a stuffed toy in its honor. I currently have the fennec fox and have gifted out the hedgehog, so I can vouch that it's a crowd-pleaser. Bonus: The website includes a list of the endangered species WWF supports with simple, sweet explanations about the species' importance, and your gift comes with supplementary materials about your animal.","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1574372116-tiger-plush-z2-rs-1574372106.jpg?crop=0.889xw:0.887xh;0.0617xw,0.0869xh&resize=480:*",31,https://gifts.worldwildlife.org/gift-center/gifts/Species-Adoptions/Tiger.aspx,"Teens, Kids, Babies",FALSE
